title , salary ,city,position, working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name 
产品专员,6-7K,北京,1-3年,本科,我爱我家,互联网,已上市,10000人以上,从女士,HR
产品经理,20-30K,北京,5-10年,本科,云南白药,医疗健康,不需要融资,10000人以上,暂无信息,暂无信息
产品经理,10-15K,南京,5-10年,本科,南京苏宁软件,计算机软件,已上市,10000人以上,王先生,产品部经理
产品总监,30-40K,北京,1-3年,本科,登云美业,生活服务,未融资,10000人以上,杜女士,HRBP
产品经理,16-18K·13薪,北京,5-10年,本科,柯莱特集团,计算机软件,已上市,1000-9999人,郭女士,Hr
产品经理,15-30K,上海,3-5年,本科,华住酒店集团,旅游,已上市,10000人以上,吴女士,高级招聘顾问
产品经理,20-30K,南京,3-5年,本科,苏宁云商集团,互联网,已上市,10000人以上,李女士,产品副总监
产品专员,5-7K,天津,1-3年,大专,尚层装饰,装修装饰,不需要融资,1000-9999人,吴女士,招聘者
产品经理,8-15K,深圳,1-3年,大专,通拓科技,电子商务,已上市,1000-9999人,吴女士,招聘专员
产品经理,20-35K,北京,5-10年,本科,用友网络科技,互联网,已上市,10000人以上,梁女士,招聘者
产品总监,25-45K,上海,5-10年,硕士,深兰科技,智能硬件,B轮,1000-9999人,陈先生,创始人
产品经理,11-20K,广州,3-5年,本科,东呈国际集团,酒店,不需要融资,10000人以上,林先生,技术总监
产品经理,10-15K,上海,3-5年,本科,钱坤投资,互联网金融,未融资,1000-9999人,朱先生,副总经理
产品经理,15-25K,南京,1年以内,本科,苏宁易购,电子商务,已上市,10000人以上,樊先生,设计总监
产品专家,35-50K,北京,5-10年,本科,京东集团,电子商务,已上市,10000人以上,白先生,招聘者
产品专员,8-16K,上海,经验不限,大专,平安普惠,互联网金融,已上市,10000人以上,王先生,招聘者
产品经理,15-30K,深圳,3-5年,本科,平安科技,互联网,不需要融资,1000-9999人,朱先生,资深产品经理
产品服务管家,5-8K,合肥,经验不限,中专/中技,安徽一通天下,通信/网络设备,不需要融资,1000-9999人,徐先生,人事经理
产品专员,3-6K,无锡,经验不限,大专,链家地产,其他专业服务,已上市,10000人以上,王先生,经理
产品经理,10-15K,上海,5-10年,本科,国充充电科技,通信/网络设备,未融资,500-999人,张女士,人力资源招聘经理
产品经理,15-20K,北京,3-5年,本科,东软睿驰,汽车生产,已上市,10000人以上,暂无信息,暂无信息
产品经理,10-20K,南京,经验不限,本科,苏宁易购,电子商务,已上市,10000人以上,祁先生,招聘者
产品总监,23-45K,上海,5-10年,本科,乐贝,电子商务,不需要融资,1000-9999人,李女士,招聘经理
产品经理,11-20K,南京,5-10年,本科,博泰(PATEO),智能硬件,B轮,500-999人,林女士,人事经理
产品专员,4-6K,深圳,应届生,大专,侣行汽车,投资/融资,未融资,10000人以上,韦女士,人资经理
产品专员,15-25K,上海,3-5年,本科,中通快递,物流/仓储,已上市,10000人以上,董女士,人事专员
高级产品经理,15-30K,南京,5-10年,本科,苏宁云商,互联网,已上市,10000人以上,王女士,产品总监
产品经理,11-22K,南京,5-10年,本科,Suning,批发/零售,已上市,10000人以上,熊先生,招聘者
产品专员,7-8K,深圳,1-3年,大专,跨越速运,物流/仓储,A轮,10000人以上,龚女士,HR
产品经理/总监,15-30K,上海,5-10年,大专,复星集团,互联网,已上市,10000人以上,暂无信息,暂无信息
产品经理,25-50K,北京,3-5年,本科,金风科技,计算机软件,已上市,1000-9999人,陈先生,团队主管
产品专员,6-8K,佛山,经验不限,学历不限,深圳乐有家控股集团,地产经纪/中介,不需要融资,10000人以上,罗女士,招聘者
产品专员,8-15K,广州,经验不限,大专,口碑,O2O,D轮及以上,10000人以上,关女士,招聘者
