title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
前端,12k-20k,深圳 福田区 保税区,1-3年,本科,易诚互动,互联网,不需要融资,1000-9999人,刘女士,HR
前端,14k-16k,北京 海淀区 马连洼,3-5年,大专,软通动力,计算机软件,已上市,10000人以上,吴先生,hrbp
前端,18k-35k,厦门 思明区 会展中心,3-5年,本科,厦门趣店科技有限公司,互联网,已上市,1000-9999人,蔡先生,招聘者
前端,14k-28k,南京 江宁区 大学城,3-5年,本科,软通动力信息技术集团,计算机软件,不需要融资,10000人以上,张女士,软通动力招聘经理
前端leader,15k-30k,上海 长宁区 北新泾,3-5年,本科,杭州大搜车,企业服务,D轮及以上,1000-9999人,陈女士,招聘经理
DLV产品前端,30k-60k,杭州 滨江区 长河,5-10年,本科,华为,计算机软件,不需要融资,10000人以上,龙先生,数据中台总架构师
web前端,20k-40k,上海 浦东新区 陆家嘴,3-5年,本科,蚂蚁金服,互联网,C轮,10000人以上,刘先生,高级研发工程师
前端工程师,8k-16k,苏州 虎丘区 科技城,1-3年,本科,安硕信息技术,计算机软件,已上市,1000-9999人,陈女士,招聘专员
web前端,13k-19k,北京  ,3-5年,本科,京北方,互联网金融,C轮,10000人以上,王女士,招聘专员
前端,10k-20k,南京 江宁区 大学城,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,许女士,招聘主管
前端,10k-15k,上海 浦东新区 唐镇,3-5年,本科,宇信科技,计算机软件,已上市,1000-9999人,孟女士,人力资源
前端,11k-17k,廊坊  ,5-10年,大专,弘毅知行,互联网,未融资,100-499人,艾先生,HR
web前端,25k-50k,北京  ,3-5年,本科,VIPKID,移动互联网,D轮及以上,10000人以上,张先生,用户侧web前端负责人
前端,11k-22k,深圳 罗湖区 布心,3-5年,本科,软通动力信息技术集团,计算机软件,不需要融资,10000人以上,陈先生,高级招聘顾问
前端工程师,5k-10k,沈阳  ,3-5年,本科,东软集团,计算机软件,已上市,10000人以上,段先生,HR
前端工程师,15k-30k,北京 朝阳区 亮马桥,3-5年,学历不限,铁甲网,互联网,C轮,1000-9999人,张先生,技术专家
前端,12k-20k,深圳 龙岗区 坂田,3-5年,大专,软通动力信息技术集团,计算机软件,不需要融资,10000人以上,谢女士,招聘经理
