title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
嵌入式,10k-20k,杭州 滨江区 浦沿,1-3年,本科,浙江中控,计算机软件,不需要融资,1000-9999人,周女士,研发管理部经理
嵌入式,8k-15k,无锡  ,1-3年,本科,信捷电气,其他行业,已上市,500-999人,王女士,人事经理
嵌入式,5k-10k,深圳  ,1-3年,本科,瑞美义,电子商务,不需要融资,100-499人,邓女士,BOSS
嵌入式,12k-18k,广州 花都区 新华,1-3年,大专,纬创软件,计算机软件,已上市,1000-9999人,孔女士,招聘专员
嵌入式,12k-22k,北京 海淀区 中关村,1-3年,本科,元拓科技,计算机软件,不需要融资,100-499人,朱女士,人事总监
嵌入式工程师,10k-20k,天津 西青区 华苑,经验不限,本科,天地伟业,计算机软件,不需要融资,1000-9999人,陈先生,部门经理
嵌入式,5k-10k,惠州  ,3-5年,大专,和易科技,互联网,未融资,100-499人,朱先生,招聘者
嵌入式,11k-18k,青岛  ,3-5年,本科,天博电子,通信/网络设备,未融资,1000-9999人,唐先生,招聘者
嵌入式,8k-16k,常州 武进区 ,1年以内,本科,万帮新能源,互联网,A轮,1000-9999人,王先生,研发总监
嵌入式软件工程师,25k-50k,深圳 龙岗区 坂田,3-5年,本科,华为技术有限公司,计算机软件,不需要融资,10000人以上,谌女士,招聘HR
嵌入式,10k-15k,深圳 南山区 科技园,5-10年,本科,小乖智能,智能硬件,天使轮,0-20人,谢先生,总经理
嵌入式,10k-15k,北京 海淀区 西北旺,1-3年,本科,声迅电子,智能硬件,不需要融资,500-999人,王女士,招聘经理
嵌入式,6k-10k,杭州 余杭区 仓前,1-3年,本科,华屹物联,智能硬件,不需要融资,0-20人,洪女士,行政
嵌入式软件工程师,10k-15k,深圳 龙岗区 坂田,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,李先生,招聘者
嵌入式,10k-20k,杭州 滨江区 西兴,1-3年,本科,海康威视,计算机软件,已上市,10000人以上,马先生,高级嵌入式软件开发经理
