title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
爬虫工程师,15k-25k,杭州 滨江区 滨江区政府,3-5年,本科,火石创造,互联网,A轮,100-499人,陈先生,数据平台部技术经理
爬虫工程师,6k-12k,杭州 上城区 西湖,经验不限,硕士,南华期货,互联网金融,未融资,500-999人,李先生,量化研究总监
爬虫工程师,20k-30k,深圳 宝安区 新安,3-5年,本科,创客软件开发,互联网,未融资,100-499人,庞女士,人事
爬虫工程师,15k-30k,北京 朝阳区 望京,3-5年,本科,凤凰金融,互联网,A轮,100-499人,郑女士,招聘主管
爬虫工程师,15k-20k,上海 浦东新区 塘桥,3-5年,本科,恒生聚源,数据服务,A轮,500-999人,徐女士,招聘专员
python爬虫工程师,5k-10k,泉州  ,1-3年,本科,品尚征信,互联网金融,不需要融资,20-99人,余女士,人力资源
Python（爬虫类）,5k-6k·13薪,苏州 吴中区 湖东,1年以内,本科,苏州闻道,互联网,不需要融资,100-499人,张女士,招聘经理
高级爬虫工程师,15k-30k,北京 海淀区 清河,5-10年,本科,旅悦,互联网,不需要融资,1000-9999人,张女士,HR
Java工程师（爬虫方向）【3~5年】,15k-25k,深圳 南山区 科技园,3-5年,本科,随手科技,互联网,C轮,1000-9999人,房先生,爬虫实验室负责人
爬虫工程师,15k-30k,杭州 余杭区 仓前,3-5年,本科,墨霓,互联网金融,A轮,20-99人,陈女士,HR
爬虫工程师,6k-9k,沈阳  ,1-3年,本科,鹏凌程,计算机服务,不需要融资,500-999人,刘女士,Boss
爬虫工程师,20k-35k,北京  ,3-5年,本科,熵简,数据服务,A轮,20-99人,费先生,创始人
高级爬虫工程师,15k-30k,上海 长宁区 北新泾,1-3年,本科,携程旅行网,互联网,已上市,10000人以上,秦女士,HRBP
高级爬虫工程师,10k-15k,郑州  ,5-10年,本科,象聚实业集团,互联网,A轮,500-999人,谢女士,招聘主管
爬虫工程师,20k-40k,北京 海淀区 清河,3-5年,本科,小米,互联网,已上市,10000人以上,赵女士,HR
爬虫工程师,12k-20k,杭州 西湖区 黄龙,3-5年,本科,河犸网络,互联网,未融资,20-99人,杨先生,人力资源
python爬虫挖掘,15k-30k,深圳 龙华区 龙华,3-5年,大专,雷特科技,电子商务,不需要融资,20-99人,戴女士,hr
爬虫工程师,8k-13k,武汉 武昌区 首义,3-5年,大专,清博大数据,数据服务,A轮,100-499人,梁女士,人事
爬虫工程师,13k-20k,杭州 西湖区 西溪,3-5年,本科,汽车超人,互联网,已上市,500-999人,姜女士,招聘专员
爬虫工程师,6k-9k,厦门  ,1-3年,大专,万商堂,计算机软件,不需要融资,20-99人,尉先生,CEO
爬虫工程师,8k-12k,上海 杨浦区 五角场,1-3年,本科,析鲸信息,计算机软件,未融资,20-99人,陈女士,招聘者
爬虫工程师,10k-15k,成都  ,1-3年,本科,BigQuant,互联网,天使轮,0-20人,梁先生,CEO
爬虫开发工程师,6k-10k,无锡  ,1-3年,大专,源石数据,移动互联网,B轮,500-999人,陈女士,HR
python爬虫工程师,6k-8k,苏州 常熟市 常熟,经验不限,本科,江苏常熟农村商业...,银行,已上市,1000-9999人,叶女士,HRD
网络爬虫,3k-8k,郑州 管城回族区 紫荆山,1-3年,本科,东方潜能,计算机软件,未融资,20-99人,孟先生,招聘者
爬虫工程师,10k-20k,成都 青羊区 天府广场,3-5年,大专,爱加密,移动互联网,D轮及以上,100-499人,郭先生,高级招聘顾问
爬虫工程师,15k-30k,北京 朝阳区 北苑,1-3年,本科,杰森聚力,广告营销,不需要融资,20-99人,,CEO
高级爬虫工程师,10k-15k·13薪,成都 金牛区 金牛万达,3-5年,本科,快启CRM服务中心,互联网,天使轮,100-499人,钟女士,HR
爬虫工程师,10k-15k,杭州 西湖区 三墩,1-3年,本科,淘淘搜,互联网,B轮,20-99人,谭女士,HR
Java  爬虫,8k-16k,大连  ,1年以内,本科,价值在线,数据服务,B轮,100-499人,韩先生,大连研发部技术
爬虫工程师,20k-40k,上海 浦东新区 张江,3-5年,本科,普道科技,企业服务,B轮,1000-9999人,章先生,产品研发中心 高级总监
Java爬虫工程师,10k-15k,北京 海淀区 上地,1-3年,本科,千里马招标网,互联网,不需要融资,500-999人,王女士,招聘者
爬虫工程师,8k-13k,长沙 雨花区 德思勤,3-5年,大专,慧集科技,互联网,未融资,0-20人,陈先生,总经理
高级爬虫工程师,15k-26k,上海 静安区 西藏北路,3-5年,大专,探知数据,数据服务,A轮,100-499人,袁女士,招人力资源经理
高级爬虫工程师,20k-40k,北京  ,3-5年,本科,快手,社交网络,D轮及以上,1000-9999人,刘女士,HR
数据采集/数据爬虫（JAVA）,3k-6k,济南 历下区 佛山街,应届生,大专,山东贝赛信息科技,数据服务,D轮及以上,100-499人,李女士,HR
爬虫专家,20k-40k,厦门 湖里区 万达广场,1-3年,学历不限,泉州百顺家具贸易...,电子商务,暂无信息,0-20人,黄先生,管理员
爬虫工程师（Java方向）,7k-12k,武汉 武昌区 水果湖,经验不限,本科,中诚信征信,互联网,未融资,100-499人,李女士,招聘经理
爬虫工程师,11k-20k·13薪,成都 锦江区 春熙路,1-3年,本科,封面新闻,媒体,天使轮,100-499人,龚先生,招聘者
高级大数据及爬虫研发工程师,15k-30k,深圳 南山区 科技园,1-3年,本科,百度,互联网,已上市,10000人以上,詹先生,技术经理
爬虫工程师,10k-20k,杭州 余杭区 仓前,5-10年,本科,墨霓,互联网金融,A轮,20-99人,陈女士,HR
爬虫工程师,10k-20k,杭州 余杭区 仓前,3-5年,本科,墨霓,互联网金融,A轮,20-99人,柯女士,HR
python爬虫工程师,10k-15k,南京 雨花台区 宁南,3-5年,大专,创数,数据服务,未融资,20-99人,朱女士,hr
Python爬虫研发工程师,10k-18k,广州  ,1-3年,本科,多益网络,互联网,不需要融资,1000-9999人,黎先生,高级人事专员
爬虫工程师,10k-15k·14薪,成都 锦江区 春熙路,1-3年,本科,封面新闻,媒体,天使轮,100-499人,廖女士,HR
爬虫工程师,10k-20k,合肥  ,3-5年,大专,飞常准,移动互联网,不需要融资,500-999人,魏女士,HR
Python爬虫工程师,15k-30k,广州 海珠区 琶洲,1-3年,本科,Fordeal,电子商务,C轮,500-999人,李女士,hrbp
Python爬虫工程师,7k-12k,上海 浦东新区 唐镇,1年以内,本科,斯睿德,互联网,B轮,20-99人,杜女士,公司hr
爬虫工程师,8k-15k,武汉 洪山区 光谷,经验不限,学历不限,唯理科技,计算机软件,未融资,20-99人,杨女士,HRM
爬虫工程师（python）,9k-13k,郑州  ,3-5年,本科,象聚实业集团,互联网,A轮,500-999人,王先生,人资
爬虫工程师中级,12k-20k,北京 海淀区 皂君庙,5-10年,本科,中科聚网,计算机软件,不需要融资,100-499人,剧女士,人事经理
爬虫工程师,8k-13k,北京 海淀区 大钟寺,3-5年,本科,中科聚网,计算机软件,不需要融资,100-499人,王先生,总经理
爬虫工程师,9k-14k,广州 海珠区 新港,3-5年,本科,有车以后,互联网,C轮,100-499人,陈先生,产品负责人
实习爬虫工程师,3k-5k,杭州 西湖区 文一路,经验不限,本科,源诚科技,计算机软件,未融资,20-99人,李女士,HRD
java爬虫工程师,6k-10k,天津 南开区 白堤路,3-5年,大专,先特网络,计算机服务,不需要融资,100-499人,高女士,招聘经理
爬虫工程师,15k-25k,上海 松江区 新桥,3-5年,本科,赢火虫,互联网,未融资,100-499人,赵女士,HR
高级数据爬虫工程师,20k-40k,深圳 南山区 科技园,3-5年,本科,无秘,移动互联网,B轮,100-499人,,HR
爬虫工程师,6k-9k,上海 闵行区 莘庄,经验不限,学历不限,昂美,数据服务,天使轮,20-99人,陆女士,人事
爬虫技术专家,20k-40k,北京 朝阳区 小营,经验不限,学历不限,北京匠心臻智科技...,企业服务,天使轮,0-20人,周先生,招聘者
爬虫工程师,5k-10k,唐山  ,1-3年,本科,唐山启奥科技,计算机软件,已上市,100-499人,刘女士,招聘主管
爬虫定价算法,15k-30k,北京 海淀区 上地,经验不限,学历不限,北京维应科技,互联网,B轮,20-99人,王先生,HRD
爬虫工程师,12k-24k,深圳 南山区 科技园,5-10年,本科,中泓在线,互联网,天使轮,100-499人,庞女士,人事专员
交互式爬虫工程师,20k-30k,北京 朝阳区 望京,3-5年,大专,凤凰金融,互联网,A轮,100-499人,郑女士,招聘主管
高级爬虫工程师,20k-40k,杭州 西湖区 文二路,3-5年,本科,源诚科技,计算机软件,未融资,20-99人,李女士,HRD
高级爬虫工程师,20k-40k,北京 海淀区 五道口,3-5年,本科,快手,社交网络,D轮及以上,1000-9999人,付女士,HR
爬虫/数据抓取工程师,10k-15k,厦门 湖里区 万达广场,3-5年,本科,钧清网络,电子商务,不需要融资,20-99人,林先生,经理
爬虫工程师,11k-18k,深圳 南山区 科技园,3-5年,本科,蓝图马,互联网,天使轮,20-99人,张先生,招聘者
爬虫开发工程师,10k-18k,杭州 西湖区 西溪,3-5年,本科,诺诺网,互联网,不需要融资,100-499人,,招聘主管
业务爬虫工程师,10k-15k,南京 建邺区 奥体,1-3年,本科,万得,数据服务,不需要融资,1000-9999人,侯先生,舆情技术部部门经理
Python爬虫工程师,12k-15k,上海 浦东新区 陆家嘴,3-5年,本科,上海讯实,互联网,未融资,20-99人,,HR
爬虫工程师,12k-23k,深圳 南山区 科技园,1-3年,本科,AfterShip,互联网,不需要融资,100-499人,王先生,中国区招聘负责人
高级数据爬虫工程师,25k-50k,深圳 南山区 科技园,3-5年,本科,无秘,移动互联网,B轮,100-499人,,HR
爬虫工程师,15k-25k,杭州 西湖区 西溪,3-5年,本科,天壤智能,互联网,A轮,100-499人,李女士,HR
高级爬虫工程师/专家,20k-40k,北京 朝阳区 安贞,5-10年,本科,美菜,互联网,D轮及以上,10000人以上,于女士,招聘经理
爬虫工程师,10k-15k,广州 海珠区 琶洲,1-3年,本科,亮灯泡科技,运营商/增值服务,不需要融资,20-99人,吴女士,人事
高薪聘Python爬虫工程师,15k-25k,深圳 宝安区 沙井,1-3年,本科,小同大美科技有限公司,互联网金融,不需要融资,100-499人,赵女士,行政人事
